date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:01:32	175873/175873	---M--	200	added ('OK')	image/jpeg	etag:%222ee21ad-2af01-5586fcc087092%22	http://themesground.com/bigshop/V2/assets/images/products/p25.jpg	C:/Users/Suvro%20Datta/Desktop/bigshop/themesground.com/bigshop/V2/assets/images/products/p25.jpg	(from http://themesground.com/bigshop/V2/)
08:01:41	90209/90209	---M--	200	added ('OK')	image/jpeg	etag:%222ee21a2-16061-5586fca596273%22	http://themesground.com/bigshop/V2/assets/images/products/p15.jpg	C:/Users/Suvro%20Datta/Desktop/bigshop/themesground.com/bigshop/V2/assets/images/products/p15.jpg	(from http://themesground.com/bigshop/V2/)
08:01:43	123339/123339	---M--	200	added ('OK')	image/jpeg	etag:%222ee21aa-1e1cb-5586fcb99e811%22	http://themesground.com/bigshop/V2/assets/images/products/p22.jpg	C:/Users/Suvro%20Datta/Desktop/bigshop/themesground.com/bigshop/V2/assets/images/products/p22.jpg	(from http://themesground.com/bigshop/V2/)
08:01:52	121959/121959	---M--	200	added ('OK')	image/jpeg	etag:%222ee21a4-1dc67-5586fcaa1f455%22	http://themesground.com/bigshop/V2/assets/images/products/p17.jpg	C:/Users/Suvro%20Datta/Desktop/bigshop/themesground.com/bigshop/V2/assets/images/products/p17.jpg	(from http://themesground.com/bigshop/V2/)
08:01:55	87449/87449	---M--	200	added ('OK')	image/jpeg	etag:%222ee21a3-15599-5586fca87290c%22	http://themesground.com/bigshop/V2/assets/images/products/p16.jpg	C:/Users/Suvro%20Datta/Desktop/bigshop/themesground.com/bigshop/V2/assets/images/products/p16.jpg	(from http://themesground.com/bigshop/V2/)
08:01:55	157538/157538	---M--	200	added ('OK')	image/jpeg	etag:%222ee21a5-26762-5586fcae686ca%22	http://themesground.com/bigshop/V2/assets/images/products/p18.jpg	C:/Users/Suvro%20Datta/Desktop/bigshop/themesground.com/bigshop/V2/assets/images/products/p18.jpg	(from http://themesground.com/bigshop/V2/)
08:02:04	135215/135215	---M--	200	added ('OK')	image/jpeg	etag:%222ee21a1-2102f-5586fca522301%22	http://themesground.com/bigshop/V2/assets/images/products/p14.jpg	C:/Users/Suvro%20Datta/Desktop/bigshop/themesground.com/bigshop/V2/assets/images/products/p14.jpg	(from http://themesground.com/bigshop/V2/)
08:02:11	97962/97962	---M--	200	added ('OK')	image/png	etag:%222f01761-17eaa-5586fce9c6397%22	http://themesground.com/bigshop/V2/assets/images/testimonials/member1.png	C:/Users/Suvro%20Datta/Desktop/bigshop/themesground.com/bigshop/V2/assets/images/testimonials/member1.png	(from http://themesground.com/bigshop/V2/)
08:02:12	98462/98462	---M--	200	added ('OK')	image/png	etag:%222f01763-1809e-5586fced9975a%22	http://themesground.com/bigshop/V2/assets/images/testimonials/member3.png	C:/Users/Suvro%20Datta/Desktop/bigshop/themesground.com/bigshop/V2/assets/images/testimonials/member3.png	(from http://themesground.com/bigshop/V2/)
08:02:12	128930/128930	---M--	200	added ('OK')	image/jpeg	etag:%222ee21a0-1f7a2-5586fca01c8f6%22	http://themesground.com/bigshop/V2/assets/images/products/p13.jpg	C:/Users/Suvro%20Datta/Desktop/bigshop/themesground.com/bigshop/V2/assets/images/products/p13.jpg	(from http://themesground.com/bigshop/V2/)
